po_id,supplier_name,region,category,po_date,promised_date,actual_date,ordered_qty,delivered_qty,unit_cost,po_value,defect_rate,previous_delay_count,supplier_rating
PO0,Supplier_39,Poland,Electronics,11-07-2025,30-07-2025,31-07-2025,121,93,123.4,14931.400000000001,0.045,2,3.65
PO1,Supplier_36,China,Mechanical,17-10-2025,11-11-2025,11-11-2025,393,382,188.33,74013.69,0,3,2.96
PO2,Supplier_12,India,Mechanical,20-01-2026,05-02-2026,05-02-2026,98,72,126.25,12372.5,0.014,3,4.93
PO3,Supplier_15,China,Packaging,01-05-2025,28-05-2025,30-05-2025,369,345,18.83,6948.2699999999995,0.061,4,3.63
PO4,Supplier_18,Poland,Electronics,05-12-2025,23-12-2025,23-12-2025,314,289,28.56,8967.84,0.068,3,2.81
PO5,Supplier_8,China,Mechanical,04-06-2025,25-06-2025,27-06-2025,99,92,153.52,15198.480000000001,0.043,1,3.92
PO6,Supplier_29,India,Mechanical,05-05-2025,21-05-2025,21-05-2025,251,222,186.07,46703.57,0.073,3,2.61
PO7,Supplier_40,France,Packaging,03-12-2025,20-12-2025,20-12-2025,416,396,121.48,50535.68,0.097,3,3.86
PO8,Supplier_41,France,Raw Material,03-09-2025,20-09-2025,20-09-2025,394,388,90.45,35637.3,0.039,2,3
PO9,Supplier_8,China,Raw Material,30-10-2025,04-11-2025,05-11-2025,310,301,78.11,24214.1,0.012,0,4.06
PO10,Supplier_34,Germany,Packaging,22-04-2025,19-05-2025,26-05-2025,111,88,136.53,15154.83,0.059,2,3.9
PO11,Supplier_35,France,Raw Material,18-05-2025,05-06-2025,06-06-2025,306,302,116.64,35691.840000000004,0.077,2,3.81
PO12,Supplier_15,India,Mechanical,05-07-2025,22-07-2025,23-07-2025,112,106,100.32,11235.84,0.056,3,4.77
PO13,Supplier_23,France,Raw Material,13-06-2025,28-06-2025,01-07-2025,85,73,24.63,2093.5499999999997,0.029,3,4.82
PO14,Supplier_45,Germany,Electronics,05-02-2026,15-02-2026,17-02-2026,77,66,45.45,3499.65,0.089,2,3.31
PO15,Supplier_28,Germany,Raw Material,25-06-2025,30-06-2025,30-06-2025,426,400,91.15,38829.9,0.082,0,3.26
PO16,Supplier_6,China,Electronics,23-07-2025,01-08-2025,01-08-2025,356,347,74.15,26397.4,0.094,0,3.51
PO17,Supplier_49,India,Packaging,09-02-2026,25-02-2026,02-03-2026,344,343,145.33,49993.520000000004,0.015,0,3.17
PO18,Supplier_2,India,Packaging,09-02-2026,07-03-2026,14-03-2026,273,273,130.53,35634.69,0.068,4,3.72
PO19,Supplier_32,Poland,Raw Material,13-11-2025,28-11-2025,29-11-2025,450,445,79.88,35946,0.063,2,4.54
PO20,Supplier_16,Germany,Electronics,02-12-2025,12-12-2025,15-12-2025,308,289,71.93,22154.440000000002,0.022,1,3.78
PO21,Supplier_19,Poland,Packaging,09-03-2026,20-03-2026,22-03-2026,466,459,83.48,38901.68,0.094,0,4.19
PO22,Supplier_25,India,Raw Material,13-05-2025,27-05-2025,28-05-2025,312,285,43.24,13490.880000000001,0.098,3,3.82
PO23,Supplier_2,Germany,Packaging,05-04-2026,21-04-2026,24-04-2026,86,60,45.85,3943.1,0.028,2,4.31
PO24,Supplier_3,Poland,Packaging,31-01-2026,26-02-2026,26-02-2026,457,438,25.99,11877.429999999998,0.016,3,3.95
PO25,Supplier_48,Germany,Raw Material,14-06-2025,13-07-2025,16-07-2025,451,438,114.26,51531.26,0.069,4,3.06
PO26,Supplier_33,Poland,Electronics,22-01-2026,09-02-2026,12-02-2026,353,334,79.63,28109.39,0.074,2,4.14
PO27,Supplier_33,Poland,Raw Material,04-08-2025,27-08-2025,01-09-2025,424,403,56.36,23896.64,0.097,4,3.72
PO28,Supplier_8,China,Raw Material,17-05-2025,23-05-2025,26-05-2025,335,335,119.61,40069.35,0.049,4,3.08
PO29,Supplier_48,China,Packaging,15-08-2025,22-08-2025,22-08-2025,66,55,188.69,12453.539999999999,0.095,4,4.71
PO30,Supplier_41,France,Packaging,02-02-2026,23-02-2026,28-02-2026,230,228,196.26,45139.799999999996,0.008,4,3.46
PO31,Supplier_23,Germany,Packaging,16-09-2025,23-09-2025,23-09-2025,330,321,187.87,61997.1,0.07,1,4.04
PO32,Supplier_22,India,Raw Material,25-05-2025,08-06-2025,08-06-2025,322,315,142.43,45862.46,0.07,4,3.24
PO33,Supplier_26,China,Mechanical,06-09-2025,05-10-2025,08-10-2025,365,340,10.99,4011.35,0.063,3,4.12
PO34,Supplier_46,Poland,Raw Material,30-04-2025,27-05-2025,03-06-2025,141,140,27.86,3928.2599999999998,0.058,2,3.66
PO35,Supplier_22,India,Mechanical,11-11-2025,07-12-2025,07-12-2025,229,220,166.29,38080.409999999996,0.036,3,3.32
PO36,Supplier_8,France,Packaging,11-01-2026,27-01-2026,29-01-2026,54,48,26.22,1415.8799999999999,0.005,3,3.53
PO37,Supplier_35,Poland,Packaging,20-09-2025,07-10-2025,07-10-2025,173,164,71.36,12345.28,0.08,2,3.6
PO38,Supplier_26,France,Mechanical,10-07-2025,04-08-2025,09-08-2025,328,320,140.81,46185.68,0.006,1,2.89
PO39,Supplier_34,Germany,Packaging,12-12-2025,29-12-2025,01-01-2026,434,419,108.17,46945.78,0.066,4,4.03
PO40,Supplier_3,Poland,Mechanical,11-05-2025,31-05-2025,01-06-2025,135,111,74.96,10119.599999999999,0.009,0,3.28
PO41,Supplier_5,Poland,Packaging,03-03-2026,23-03-2026,26-03-2026,88,85,42.91,3776.08,0.043,1,4.04
PO42,Supplier_5,Poland,Mechanical,11-09-2025,05-10-2025,12-10-2025,443,418,187.35,82996.05,0.05,4,4.21
PO43,Supplier_16,India,Electronics,07-09-2025,01-10-2025,03-10-2025,227,225,132.22,30013.94,0.046,2,4.55
PO44,Supplier_12,China,Electronics,26-10-2025,31-10-2025,31-10-2025,92,81,62.05,5708.599999999999,0.021,1,2.6
