po_id,supplier_name,region,category,po_date,promised_date,actual_date,ordered_qty,delivered_qty,unit_cost,po_value,defect_rate,previous_delay_count,supplier_rating,delay_days,delivery_risk,fill_rate,cost_impact
PO0,Supplier_39,Poland,Electronics,11-07-2025,30-07-2025,31-07-2025,121,93,123.4,14931.4,0.045,2,3.65,1,0,0.768595041,671.913
PO1,Supplier_36,China,Mechanical,17-10-2025,11-11-2025,11-11-2025,393,382,188.33,74013.69,0,3,2.96,0,0,0.9720101781170484,0
PO2,Supplier_12,India,Mechanical,20-01-2026,05-02-2026,05-02-2026,98,72,126.25,12372.5,0.014,3,4.93,0,0,0.7346938775510204,173.215
PO3,Supplier_15,China,Packaging,01-05-2025,28-05-2025,30-05-2025,369,345,18.83,6948.27,0.061,4,3.63,2,0,0.9349593495934959,423.84447
PO4,Supplier_18,Poland,Electronics,05-12-2025,23-12-2025,23-12-2025,314,289,28.56,8967.84,0.068,3,2.81,0,0,0.9203821656050956,609.81312
PO5,Supplier_8,China,Mechanical,04-06-2025,25-06-2025,27-06-2025,99,92,153.52,15198.48,0.043,1,3.92,2,0,0.9292929292929293,653.53464
PO6,Supplier_29,India,Mechanical,05-05-2025,21-05-2025,21-05-2025,251,222,186.07,46703.57,0.073,3,2.61,0,0,0.8844621513944223,3409.3606099999997
PO7,Supplier_40,France,Packaging,03-12-2025,20-12-2025,20-12-2025,416,396,121.48,50535.68,0.097,3,3.86,0,0,0.9519230769230769,4901.96096
PO8,Supplier_41,France,Raw Material,03-09-2025,20-09-2025,20-09-2025,394,388,90.45,35637.3,0.039,2,3,0,0,0.9847715736040609,1389.8547
PO9,Supplier_8,China,Raw Material,30-10-2025,04-11-2025,05-11-2025,310,301,78.11,24214.1,0.012,0,4.06,1,0,0.9709677419354839,290.56919999999997
PO10,Supplier_34,Germany,Packaging,22-04-2025,19-05-2025,26-05-2025,111,88,136.53,15154.83,0.059,2,3.9,7,1,0.7927927927927928,894.13497
PO11,Supplier_35,France,Raw Material,18-05-2025,05-06-2025,06-06-2025,306,302,116.64,35691.840000000004,0.077,2,3.81,1,0,0.9869281045751634,2748.2716800000003
PO12,Supplier_15,India,Mechanical,05-07-2025,22-07-2025,23-07-2025,112,106,100.32,11235.84,0.056,3,4.77,1,0,0.9464285714285714,629.20704
PO13,Supplier_23,France,Raw Material,13-06-2025,28-06-2025,01-07-2025,85,73,24.63,2093.55,0.029,3,4.82,3,0,0.8588235294117647,60.712950000000006
PO14,Supplier_45,Germany,Electronics,05-02-2026,15-02-2026,17-02-2026,77,66,45.45,3499.65,0.089,2,3.31,2,0,0.8571428571428571,311.46885
PO15,Supplier_28,Germany,Raw Material,25-06-2025,30-06-2025,30-06-2025,426,400,91.15,38829.9,0.082,0,3.26,0,0,0.9389671361502347,3184.0518
PO16,Supplier_6,China,Electronics,23-07-2025,01-08-2025,01-08-2025,356,347,74.15,26397.4,0.094,0,3.51,0,0,0.9747191011235955,2481.3556000000003
PO17,Supplier_49,India,Packaging,09-02-2026,25-02-2026,02-03-2026,344,343,145.33,49993.52,0.015,0,3.17,5,1,0.997093023,749.9028
PO18,Supplier_2,India,Packaging,09-02-2026,07-03-2026,14-03-2026,273,273,130.53,35634.69,0.068,4,3.72,7,1,1,2423.1589200000003
PO19,Supplier_32,Poland,Raw Material,13-11-2025,28-11-2025,29-11-2025,450,445,79.88,35946,0.063,2,4.54,1,0,0.9888888888888889,2264.598
PO20,Supplier_16,Germany,Electronics,02-12-2025,12-12-2025,15-12-2025,308,289,71.93,22154.44,0.022,1,3.78,3,0,0.9383116883116883,487.3976799999999
PO21,Supplier_19,Poland,Packaging,09-03-2026,20-03-2026,22-03-2026,466,459,83.48,38901.68,0.094,0,4.19,2,0,0.9849785407725322,3656.75792
PO22,Supplier_25,India,Raw Material,13-05-2025,27-05-2025,28-05-2025,312,285,43.24,13490.88,0.098,3,3.82,1,0,0.9134615384615384,1322.10624
PO23,Supplier_2,Germany,Packaging,05-04-2026,21-04-2026,24-04-2026,86,60,45.85,3943.1,0.028,2,4.31,3,0,0.6976744186046512,110.4068
PO24,Supplier_3,Poland,Packaging,31-01-2026,26-02-2026,26-02-2026,457,438,25.99,11877.429999999998,0.016,3,3.95,0,0,0.9584245076586433,190.03887999999998
PO25,Supplier_48,Germany,Raw Material,14-06-2025,13-07-2025,16-07-2025,451,438,114.26,51531.26,0.069,4,3.06,3,0,0.9711751662971175,3555.6569400000003
PO26,Supplier_33,Poland,Electronics,22-01-2026,09-02-2026,12-02-2026,353,334,79.63,28109.39,0.074,2,4.14,3,0,0.9461756373937678,2080.0948599999997
PO27,Supplier_33,Poland,Raw Material,04-08-2025,27-08-2025,01-09-2025,424,403,56.36,23896.64,0.097,4,3.72,5,1,0.9504716981132075,2317.97408
PO28,Supplier_8,China,Raw Material,17-05-2025,23-05-2025,26-05-2025,335,335,119.61,40069.35,0.049,4,3.08,3,0,1,1963.39815
PO29,Supplier_48,China,Packaging,15-08-2025,22-08-2025,22-08-2025,66,55,188.69,12453.54,0.095,4,4.71,0,0,0.8333333333333334,1183.0863000000002
PO30,Supplier_41,France,Packaging,02-02-2026,23-02-2026,28-02-2026,230,228,196.26,45139.8,0.008,4,3.46,5,1,0.991304348,361.1184
PO31,Supplier_23,Germany,Packaging,16-09-2025,23-09-2025,23-09-2025,330,321,187.87,61997.1,0.07,1,4.04,0,0,0.9727272727272728,4339.7970000000005
PO32,Supplier_22,India,Raw Material,25-05-2025,08-06-2025,08-06-2025,322,315,142.43,45862.46,0.07,4,3.24,0,0,0.9782608695652174,3210.3722000000002
PO33,Supplier_26,China,Mechanical,06-09-2025,05-10-2025,08-10-2025,365,340,10.99,4011.35,0.063,3,4.12,3,0,0.9315068493150684,252.71505
PO34,Supplier_46,Poland,Raw Material,30-04-2025,27-05-2025,03-06-2025,141,140,27.86,3928.26,0.058,2,3.66,7,1,0.9929078014184397,227.83908000000002
PO35,Supplier_22,India,Mechanical,11-11-2025,07-12-2025,07-12-2025,229,220,166.29,38080.41,0.036,3,3.32,0,0,0.9606986899563319,1370.8947600000001
PO36,Supplier_8,France,Packaging,11-01-2026,27-01-2026,29-01-2026,54,48,26.22,1415.88,0.005,3,3.53,2,0,0.8888888888888888,7.079400000000001
PO37,Supplier_35,Poland,Packaging,20-09-2025,07-10-2025,07-10-2025,173,164,71.36,12345.28,0.08,2,3.6,0,0,0.9479768786127167,987.6224000000001
PO38,Supplier_26,France,Mechanical,10-07-2025,04-08-2025,09-08-2025,328,320,140.81,46185.68,0.006,1,2.89,5,1,0.975609756,277.11408
PO39,Supplier_34,Germany,Packaging,12-12-2025,29-12-2025,01-01-2026,434,419,108.17,46945.78,0.066,4,4.03,3,0,0.9654377880184332,3098.42148
PO40,Supplier_3,Poland,Mechanical,11-05-2025,31-05-2025,01-06-2025,135,111,74.96,10119.6,0.009,0,3.28,1,0,0.8222222222222222,91.07639999999999
PO41,Supplier_5,Poland,Packaging,03-03-2026,23-03-2026,26-03-2026,88,85,42.91,3776.08,0.043,1,4.04,3,0,0.9659090909090909,162.37143999999998
PO42,Supplier_5,Poland,Mechanical,11-09-2025,05-10-2025,12-10-2025,443,418,187.35,82996.05,0.05,4,4.21,7,1,0.9435665914221218,4149.802500000001
PO43,Supplier_16,India,Electronics,07-09-2025,01-10-2025,03-10-2025,227,225,132.22,30013.94,0.046,2,4.55,2,0,0.9911894273127754,1380.64124
PO44,Supplier_12,China,Electronics,26-10-2025,31-10-2025,31-10-2025,92,81,62.05,5708.599999999999,0.021,1,2.6,0,0,0.8804347826086957,119.8806
PO45,Supplier_50,China,Raw Material,10-02-2026,03-03-2026,03-03-2026,313,285,170.53,53375.89,0.002,1,3.15,0,0,0.9105431309904153,106.75178
PO46,Supplier_7,Poland,Mechanical,28-08-2025,22-09-2025,22-09-2025,124,96,17.45,2163.8,0.042,4,3.21,0,0,0.7741935483870968,90.87960000000001
PO47,Supplier_10,France,Electronics,18-05-2025,15-06-2025,16-06-2025,226,224,88.4,19978.4,0.037,4,3.1,1,0,0.9911504424778761,739.2008000000001
PO48,Supplier_13,Germany,Raw Material,02-03-2026,15-03-2026,20-03-2026,322,306,106,34132,0.083,4,4.74,5,1,0.9503105590062112,2832.956
PO49,Supplier_49,Poland,Packaging,13-11-2025,26-11-2025,27-11-2025,125,117,70.67,8833.75,0.095,3,3.93,1,0,0.936,839.20625
PO50,Supplier_47,France,Electronics,27-08-2025,03-09-2025,05-09-2025,74,55,137.78,10195.72,0.075,0,2.78,2,0,0.7432432432432432,764.679
PO51,Supplier_42,India,Raw Material,22-03-2026,09-04-2026,16-04-2026,171,167,150.04,25656.84,0.055,2,2.79,7,1,0.9766081871345029,1411.1262
PO52,Supplier_12,Germany,Mechanical,01-11-2025,17-11-2025,17-11-2025,302,297,25.98,7845.96,0.07,1,3.49,0,0,0.9834437086092715,549.2172
PO53,Supplier_27,India,Mechanical,18-04-2026,27-04-2026,30-04-2026,214,209,197.46,42256.44,0.037,0,4.7,3,0,0.9766355140186916,1563.48828
PO54,Supplier_17,Germany,Electronics,19-04-2026,27-04-2026,29-04-2026,119,92,25.87,3078.53,0.078,2,3.12,2,0,0.773109244,240.12534000000002
PO55,Supplier_19,China,Electronics,24-09-2025,11-10-2025,11-10-2025,269,240,20.7,5568.3,0.012,4,4.56,0,0,0.8921933085501859,66.81960000000001
PO56,Supplier_39,Germany,Raw Material,27-10-2025,13-11-2025,15-11-2025,239,215,81.23,19413.97,0.029,0,3.06,2,0,0.89958159,563.00513
PO57,Supplier_6,India,Packaging,03-10-2025,20-10-2025,23-10-2025,366,352,179.32,65631.12,0.053,2,4.8,3,0,0.9617486338797814,3478.4493599999996
PO58,Supplier_36,China,Raw Material,14-08-2025,07-09-2025,07-09-2025,451,437,129.59,58445.09,0.07,0,4.07,0,0,0.9689578713968958,4091.1563
PO59,Supplier_3,Germany,Raw Material,06-06-2025,22-06-2025,22-06-2025,273,258,179.15,48907.95,0.046,3,3.34,0,0,0.945054945,2249.7657
PO60,Supplier_28,Poland,Mechanical,16-03-2026,28-03-2026,28-03-2026,365,348,60.53,22093.45,0.036,3,4.97,0,0,0.9534246575342465,795.3642
PO61,Supplier_17,Germany,Electronics,22-05-2025,16-06-2025,18-06-2025,269,254,40.9,11002.1,0.091,4,4.85,2,0,0.9442379182156134,1001.1911
PO62,Supplier_5,Germany,Mechanical,27-05-2025,10-06-2025,15-06-2025,291,265,18.59,5409.69,0.003,0,4.44,5,1,0.9106529209621993,16.22907
PO63,Supplier_18,Germany,Raw Material,01-06-2025,26-06-2025,26-06-2025,112,88,194.28,21759.36,0.084,4,2.66,0,0,0.7857142857142857,1827.7862400000001
PO64,Supplier_41,China,Raw Material,14-11-2025,19-11-2025,22-11-2025,360,355,141.43,50914.8,0.053,4,4.99,3,0,0.9861111111111112,2698.4844000000003
PO65,Supplier_23,France,Electronics,23-12-2025,01-01-2026,01-01-2026,132,116,55.81,7366.92,0.021,0,4.89,0,0,0.8787878787878788,154.70532
PO66,Supplier_13,Poland,Mechanical,22-01-2026,27-01-2026,27-01-2026,337,336,78.05,26302.85,0.011,1,3.75,0,0,0.9970326409495549,289.33135
PO67,Supplier_3,China,Mechanical,25-09-2025,11-10-2025,11-10-2025,103,92,116.58,12007.74,0.088,0,3.97,0,0,0.8932038834951457,1056.68112
PO68,Supplier_47,France,Electronics,02-07-2025,20-07-2025,20-07-2025,124,106,181.6,22518.4,0.062,1,3.38,0,0,0.8548387096774194,1396.1408000000001
PO69,Supplier_34,India,Mechanical,12-07-2025,31-07-2025,01-08-2025,484,483,76.17,36866.28,0.051,3,3.24,1,0,0.9979338842975206,1880.1802799999998
PO70,Supplier_42,China,Electronics,07-09-2025,16-09-2025,19-09-2025,437,428,186.05,81303.85,0.049,3,2.67,3,0,0.9794050343249427,3983.8886500000003
PO71,Supplier_5,India,Mechanical,07-12-2025,01-01-2026,01-01-2026,254,225,130.35,33108.9,0.024,2,3.84,0,0,0.8858267716535433,794.6136
PO72,Supplier_23,China,Mechanical,06-04-2026,26-04-2026,28-04-2026,409,406,75.68,30953.120000000003,0.09,2,3.79,2,0,0.9926650366748166,2785.7808
PO73,Supplier_32,India,Electronics,29-11-2025,22-12-2025,23-12-2025,326,322,75.57,24635.82,0.035,4,3.87,1,0,0.9877300613496932,862.2537000000001
PO74,Supplier_5,Germany,Packaging,08-04-2026,26-04-2026,26-04-2026,482,469,72.72,35051.04,0.032,1,4.5,0,0,0.9730290456431535,1121.63328
PO75,Supplier_22,China,Raw Material,21-10-2025,10-11-2025,13-11-2025,386,361,174.98,67542.28,0.008,2,2.96,3,0,0.9352331606217616,540.33824
PO76,Supplier_15,India,Packaging,19-08-2025,15-09-2025,20-09-2025,265,264,152.02,40285.3,0.004,2,4.28,5,1,0.9962264150943396,161.14120000000003
PO77,Supplier_47,China,Raw Material,25-06-2025,12-07-2025,12-07-2025,343,341,85.46,29312.78,0.01,4,2.96,0,0,0.9941690962099126,293.1278
PO78,Supplier_39,Germany,Electronics,04-12-2025,15-12-2025,20-12-2025,175,164,54.31,9504.25,0.034,0,4.2,5,1,0.9371428571428572,323.14450000000005
PO79,Supplier_3,Germany,Electronics,01-06-2025,23-06-2025,30-06-2025,277,263,150,41550,0.056,0,3.91,7,1,0.9494584837545126,2326.8
PO80,Supplier_42,Germany,Electronics,13-03-2026,23-03-2026,25-03-2026,331,330,56.43,18678.33,0.05,4,4.83,2,0,0.9969788519637462,933.9165000000002
PO81,Supplier_22,France,Mechanical,19-04-2025,29-04-2025,06-05-2025,161,158,171.66,27637.26,0.009,0,2.7,7,1,0.9813664596273292,248.73533999999998
PO82,Supplier_31,France,Packaging,13-08-2025,10-09-2025,17-09-2025,55,54,119.44,6569.2,0.092,0,3.73,7,1,0.9818181818181818,604.3664
PO83,Supplier_38,China,Mechanical,25-09-2025,24-10-2025,24-10-2025,384,374,118.61,45546.24,0.028,3,3.01,0,0,0.9739583333333334,1275.2947199999999
PO84,Supplier_26,Poland,Raw Material,30-08-2025,23-09-2025,23-09-2025,69,53,110.67,7636.23,0.071,4,3.77,0,0,0.7681159420289855,542.1723299999999
PO85,Supplier_36,France,Raw Material,27-09-2025,04-10-2025,04-10-2025,439,422,96.31,42280.09,0.055,1,4.97,0,0,0.9612756264236902,2325.4049499999996
PO86,Supplier_13,India,Packaging,26-12-2025,31-12-2025,07-01-2026,150,142,154.44,23166,0.06,2,3.37,7,1,0.9466666666666667,1389.96
PO87,Supplier_49,France,Mechanical,17-07-2025,02-08-2025,02-08-2025,383,363,148.86,57013.380000000005,0.094,3,3.45,0,0,0.9477806788511749,5359.2577200000005
PO88,Supplier_1,Poland,Packaging,22-07-2025,03-08-2025,04-08-2025,410,406,48.31,19807.1,0.016,4,2.97,1,0,0.9902439024390244,316.9136
PO89,Supplier_19,China,Mechanical,07-05-2025,15-05-2025,15-05-2025,286,277,84.56,24184.16,0.082,2,4.06,0,0,0.9685314685314685,1983.10112
PO90,Supplier_33,Germany,Electronics,15-09-2025,06-10-2025,06-10-2025,499,486,22.66,11307.34,0.023,2,3.58,0,0,0.9739478957915831,260.06882
PO91,Supplier_3,China,Packaging,05-11-2025,19-11-2025,21-11-2025,64,50,127.81,8179.84,0.053,2,4.47,2,0,0.78125,433.53152
PO92,Supplier_38,Germany,Electronics,07-10-2025,16-10-2025,17-10-2025,488,488,16.37,7988.56,0.057,1,3.73,1,0,1,455.34792000000004
PO93,Supplier_10,Germany,Mechanical,16-09-2025,26-09-2025,29-09-2025,208,194,170.83,35532.64,0.013,4,3.85,3,0,0.9326923076923077,461.92431999999997
PO94,Supplier_29,Poland,Packaging,22-06-2025,09-07-2025,09-07-2025,460,442,141.85,65251,0.054,2,4,0,0,0.9608695652173913,3523.554
PO95,Supplier_20,China,Mechanical,21-03-2026,04-04-2026,09-04-2026,183,176,90.48,16557.84,0.029,2,2.88,5,1,0.9617486338797814,480.17736
PO96,Supplier_13,India,Electronics,27-09-2025,02-10-2025,09-10-2025,153,126,122.66,18766.98,0.01,3,4.48,7,1,0.8235294117647058,187.6698
PO97,Supplier_37,India,Electronics,22-11-2025,05-12-2025,10-12-2025,100,72,29.81,2981,0.084,2,3.63,5,1,0.72,250.40400000000002
PO98,Supplier_46,France,Electronics,02-10-2025,20-10-2025,22-10-2025,231,209,184.96,42725.76,0.087,2,3.98,2,0,0.9047619047619048,3717.14112
PO99,Supplier_21,Germany,Electronics,21-07-2025,03-08-2025,03-08-2025,485,461,10.88,5276.8,0.033,3,3.84,0,0,0.9505154639175257,174.13440000000003
PO100,Supplier_11,India,Raw Material,14-02-2026,08-03-2026,09-03-2026,467,441,95.92,44794.64,0.022,3,4.78,1,0,0.9443254817987152,985.4820799999999
PO101,Supplier_24,Germany,Raw Material,28-10-2025,21-11-2025,26-11-2025,393,393,78.85,30988.05,0.058,1,2.53,5,1,1,1797.3069
PO102,Supplier_21,Germany,Raw Material,22-05-2025,12-06-2025,14-06-2025,410,394,115.89,47514.9,0.086,4,2.96,2,0,0.9609756097560975,4086.2814
PO103,Supplier_7,Germany,Packaging,02-08-2025,19-08-2025,24-08-2025,264,246,49.88,13168.320000000002,0.09,4,4.06,5,1,0.9318181818181818,1185.1488000000002
PO104,Supplier_29,China,Mechanical,04-05-2025,09-05-2025,14-05-2025,420,406,110.25,46305,0.053,0,3.5,5,1,0.9666666666666667,2454.165
PO105,Supplier_38,China,Raw Material,11-11-2025,19-11-2025,19-11-2025,313,285,24.35,7621.55,0.075,1,3.18,0,0,0.9105431309904153,571.61625
PO106,Supplier_46,India,Packaging,05-01-2026,10-01-2026,17-01-2026,104,77,169.56,17634.24,0.087,0,3.88,7,1,0.7403846153846154,1534.17888
PO107,Supplier_3,China,Raw Material,17-02-2026,01-03-2026,06-03-2026,298,284,118.19,35220.62,0.089,3,3.1,5,1,0.9530201342281879,3134.63518
PO108,Supplier_34,China,Packaging,18-10-2025,15-11-2025,20-11-2025,337,314,163.3,55032.100000000006,0.096,3,4.17,5,1,0.9317507418397626,5283.0816
PO109,Supplier_21,India,Raw Material,27-01-2026,10-02-2026,17-02-2026,210,188,171.14,35939.399999999994,0.012,2,3.96,7,1,0.8952380952380953,431.27279999999996
PO110,Supplier_18,India,Electronics,03-12-2025,22-12-2025,25-12-2025,453,443,59.29,26858.37,0.038,3,4.58,3,0,0.977924945,1020.6180599999999
PO111,Supplier_37,Germany,Mechanical,10-08-2025,04-09-2025,06-09-2025,404,385,195.16,78844.64,0.078,0,4.67,2,0,0.9529702970297029,6149.88192
PO112,Supplier_46,Germany,Mechanical,06-09-2025,29-09-2025,29-09-2025,63,55,112.91,7113.33,0.063,0,2.85,0,0,0.873015873,448.13979
PO113,Supplier_43,Poland,Mechanical,04-03-2026,21-03-2026,21-03-2026,264,260,13.49,3561.36,0.091,4,4.54,0,0,0.9848484848484849,324.08376
PO114,Supplier_41,India,Electronics,05-04-2026,14-04-2026,14-04-2026,427,416,49.22,21016.94,0.001,4,3.16,0,0,0.9742388758782201,21.016939999999998
PO115,Supplier_31,China,Packaging,08-01-2026,14-01-2026,16-01-2026,286,262,103.91,29718.26,0.057,0,3.55,2,0,0.916083916,1693.94082
PO116,Supplier_28,India,Mechanical,23-10-2025,29-10-2025,31-10-2025,359,349,45.03,16165.77,0.009,2,3.11,2,0,0.9721448467966574,145.49193
PO117,Supplier_21,China,Packaging,18-03-2026,02-04-2026,04-04-2026,162,136,66.45,10764.9,0.057,1,3.49,2,0,0.8395061728395061,613.5993
PO118,Supplier_24,France,Packaging,02-01-2026,07-01-2026,07-01-2026,85,71,59.83,5085.55,0.06,2,4.62,0,0,0.8352941176470589,305.133
PO119,Supplier_45,China,Mechanical,12-05-2025,25-05-2025,25-05-2025,499,479,75.43,37639.57000000001,0.035,0,3.74,0,0,0.9599198396793587,1317.3849500000003
PO120,Supplier_43,India,Electronics,23-02-2026,06-03-2026,07-03-2026,180,163,161.89,29140.2,0.069,1,2.76,1,0,0.9055555555555556,2010.6738000000003
PO121,Supplier_37,Poland,Raw Material,29-12-2025,19-01-2026,22-01-2026,66,57,141.21,9319.86,0.052,3,3.85,3,0,0.8636363636363636,484.63272
PO122,Supplier_24,China,Packaging,05-09-2025,30-09-2025,30-09-2025,264,260,141.53,37363.92,0.085,0,4.76,0,0,0.9848484848484849,3175.9332
PO123,Supplier_12,China,Mechanical,06-01-2026,19-01-2026,22-01-2026,75,61,18.39,1379.25,0.059,0,2.95,3,0,0.8133333333333334,81.37575
PO124,Supplier_21,India,Raw Material,01-01-2026,19-01-2026,26-01-2026,166,160,66.5,11039,0.092,1,3.55,7,1,0.963855422,1015.588
PO125,Supplier_29,India,Raw Material,03-11-2025,27-11-2025,04-12-2025,451,425,167.49,75537.99,0.004,2,3.9,7,1,0.9423503325942351,302.15196000000003
PO126,Supplier_45,India,Raw Material,30-07-2025,08-08-2025,09-08-2025,473,448,147.71,69866.83,0.007,0,3.85,1,0,0.9471458773784355,489.06781
PO127,Supplier_22,Germany,Electronics,08-11-2025,30-11-2025,30-11-2025,65,53,127.01,8255.65,0.023,2,4.68,0,0,0.8153846153846154,189.87994999999998
PO128,Supplier_30,China,Raw Material,15-10-2025,01-11-2025,04-11-2025,323,321,23.31,7529.129999999999,0.001,4,4.42,3,0,0.9938080495356038,7.529129999999999
PO129,Supplier_29,France,Packaging,27-07-2025,25-08-2025,27-08-2025,288,264,155.97,44919.36,0.042,3,4.34,2,0,0.9166666666666666,1886.6131200000002
PO130,Supplier_30,Germany,Raw Material,20-10-2025,06-11-2025,11-11-2025,425,396,172.04,73117,0.072,4,2.61,5,1,0.9317647058823529,5264.424
PO131,Supplier_1,France,Mechanical,02-05-2025,21-05-2025,21-05-2025,448,432,84.41,37815.68,0.012,2,4.87,0,0,0.9642857142857143,453.78816
PO132,Supplier_37,China,Packaging,17-07-2025,27-07-2025,03-08-2025,489,476,124.15,60709.350000000006,0.09,1,2.92,7,1,0.9734151329243353,5463.8415
PO133,Supplier_4,China,Packaging,03-10-2025,27-10-2025,30-10-2025,112,91,125.47,14052.64,0.051,1,2.62,3,0,0.8125,716.68464
